Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Absolute Synergy,<:NaazRokhaNRAFlag:799977386720231434> Naaz-Rokha Alliance,<:TechBiotic:786336544393920582> **<>** <:TechPropulsion:786336467832012821>,,,,,Thunder's Edge,"When you have 4 mechs in the same system, you may return 3 of those mechs to your reinforcements to flip this card and place it on top of your mech card.||**__Eidolon Maximum__**|**Combat: 4 (x4), Move: 3|This unit is both a ship and a ground force. It cannot be assigned hits from unit abilities. Repair it at the start of every combat round. Game effects cannot place or produce your mechs. When this unit is destroyed or removed, flip this card and return it to your play area.|_Sustain Damage_|<:TechBiotic:786336544393920582> **<>** <:TechPropulsion:786336467832012821>",,,"naaz rokha, nra, naaz-rokha, naaz rokha breakthrough, nra breakthrogh, naaz-rokha breakthrough"
Al'raith Ix Ianovar,<:KebabFlag:799976538744291339> Vuil'raith Cabal,<:TechWarfare:786336653085376558> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"This breakthrough causes the Fracture to enter play without a roll, if it is not already in play. After this card enters play, move up to 2 ingress tokens into systems that contain gravity rifts.|Apply +1 to the _Move_ value of each of your ships that start their movement in The Fracture.",,,"vuilraith, cabal, vuilraith breakthrough, cabal breakthrough"
Archon's Gift,<:XxchaFlag:799978104940003328> Xxcha Kingdom,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,You can spend influence as if it were resources.|You can spend resources as if it were influence.,,,"xxcha, kingdom, turtle, xxcha breakthrough, kingdom breakthrough, turtle breakthrough"
Auto-Factories,<:HacanFlag:799976797784768513> Emirates of Hacan,<:TechWarfare:786336653085376558> **<>** <:TechCybernetic:786336610014724127>,,,,,Thunder's Edge,"When you produce 3 or more non-fighter ships, place 1 command token from your reinforcements into your fleet pool.",,,"emirates, hacan, emirates breakthrough, hacan breakthrough"
Bellum Gloriosum,<:SolFlag:799977825205616661> Federation of Sol,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"When you produce a ship that has capacity, you may also produce any combination of ground forces or fighters up to that ship's capacity; they do not count against your _Production_ limit.",,,"federation, sol, federation breakthrough, sol breakthrough"
Data Skimmer,<:ralnel:1433515089646059581> Ral Nel Consortium,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"During the action phase, if you have not passed, when other players would discard action cards, they are placed on this card instead.|When you pass, take 1 action card from this card and discard the rest.",,,"ral nel, ral-nel, rnc, ral nel breakthrough, ral-nel breakthrough, rnc breakthrough"
Deepgloom Executable,<:YssarilFlag:799978263409459200> Yssaril Tribes,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"You can allow other players to use your ""Stall Tactics"" or ""Scheming"" faction abilities; when you do, you may resolve a transaction with that player. During the action phase, that transaction does not count against the once-per-player transaction limit for that turn.",,,"yssaril, goblins, spy, yssaril breakthrough, goblin breakthrough, spy breakthrough"
Deorbit Barrage,<:SaarFlag:799977657303302154> Clan of Saar,<:TechPropulsion:786336467832012821> **<>** <:TechWarfare:786336653085376558>,,,,,Thunder's Edge,**Action:** Exhaust this card and spend any amount of resources to choose a planet up to 2 systems away from an asteroid field that contains your ships; roll a number of dice equal to the amount spent and assign 1 hit to a ground force on that planet for each roll of 4 or greater.,,,"saar, clan, saar breakthrough, clan breakthrough, opa breakthrough"
Fealty Uplink,<:L1Z1XFL4G:799976965813698600> L1Z1X,<:TechWarfare:786336653085376558> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"When you gain control of a planet, place infantry from your reinforcements equal to that planet's influence value on that planet.",,,"L1Z1X, L1Z1X breakthrough"
Gravleash Maneuvers,<:LetnevFlag:799976459325407243> Barony of Letnev,<:TechPropulsion:786336467832012821> **<>** <:TechWarfare:786336653085376558>,,,,,Thunder's Edge,"Before you roll dice during space combat, apply +X to the results of 1 of your ship's rolls, where X is the number of ship types you have in the combat.|During movement, your non-fighter ships' move values are equal to the highest move value amongst ships in the system they started in.",,,"letnev, barony, letnev breakthrough, barony breakthrough"
I.I.H.Q. Modernization,<:IceCream:979231952030793828> Council Keleres,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"When you gain this card, gain the Custodia Vigilia planet card and its legendary ability card.|You are neighbors with all players that have units or control planets in or adjacent to the Mecatol Rex system.",,See also: Custodia Vigilia (in planets),"council, keleres, council breakthrough, keleres breakthrough"
Imperator,<:WinnuFlag:799978013756358707> Winnu,<:TechPropulsion:786336467832012821> **<>** <:TechWarfare:786336653085376558>,,,,,Thunder's Edge,"Apply +1 to the results of each of your unit's combat rolls for each ""Support for the Throne"" in your opponent's play area.|After you activate a system that contains a legendary planet, apply +1 to the move value of 1 of your ships during this tactical action.",,,"winnu, winnu breakthrough"
Mindsieve,<:NaaluFlag:799977317937446953> Naalu Collective,<:TechWarfare:786336653085376558> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"When you would resolve the secondary ability of another player's strategy card, you may give them a promissory note to resolve it without spending a command token.",,,"naalu, naalu breakthrough, promissory notes"
N'orr Supremacy,<:SardakkNorrPizzaBoyFlag:799977732058382336>,<:TechPropulsion:786336467832012821> **<>** <:TechWarfare:786336653085376558>,,,,,Thunder's Edge,"After you win a combat, either gain 1 command token or research a unit upgrade technology.",,,"sardakk, norr, sardakk breakthrough, norr breakthrough, bug breakthrough"
Particle Synthesis,<:Ghostleader:799976713135063080> Ghosts of Creuss,<:TechPropulsion:786336467832012821> **<>** <:TechCybernetic:786336610014724127>,,,,,Thunder's Edge,Each wormhole in a system that contains your ships gains _Production 1_ as if it were a unit you control.|Reduce the combined cost of units you produce in systems that contain wormholes by 1 for each wormhole in that system.,,,"ghosts, creuss, ghosts breakthrough, creuss breakthrough"
Psychospore,<:ArborecFlag:799976271564111933> Arborec,<:TechWarfare:786336653085376558> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"**Action:** Exhaust this card to remove a command token from a system that contains 1 or more of your infantry and return it to your reinforcements. Then, place 1 infantry in that system.",,,"arborec, arborec breakthrough, warfare"
Resonance Generator,<:crimson:1433515401139978250> Crimson Rebellion,<:TechPropulsion:786336467832012821> **<>** <:TechWarfare:786336653085376558>,,,,,Thunder's Edge,"During your tactical actions, apply +1 to the move value of each of your ships that starts its movement in your home system or in a system that contains an active breach.|**Action:** Exhaust this card to flip any breach or place an active breach in a non-home system that contains your units.",,,"crimson, rebellion, crimson breakthrough, rebellion breakthrough"
Slumberstate Computing,<:UlFlag:799977899624235008> Titans of Ul,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"When ""Coalescence"" results in a ground combat, if you commit no other units, you may choose for your units to coexist instead. During the status phase, for each player you are coexisting with, you and that player each draw 1 additional action card.|Other players may allow you to place a sleeper token on a planet they control.",,,"titans, ul, titans breakthrough, ul breakthrough"
Specialized Compounds,<:JolNarFlag:799976866643050506> Universities of Jol-Nar,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"When you research technology using the ""Technology"" strategy card, you may exhaust a planet that has a technology specialty instead of spending resources; if you do, you must research a technology of that color.",,,"jol nar, jol-nar, universities, fish, jol nar breakthrough, jol-nar breakthrough, universities breakthrough, fish breakthrough"
Stellar Genesis,<:MuaatFlag:799977247501975619> Embers of Muaat,<:TechWarfare:786336653085376558> **<>** <:TechCybernetic:786336610014724127>,,,,,Thunder's Edge,"When you gain this card, place the Avernus planet token into a non-home system that is adjacent to a planet you control; gain control and ready it.|After you move 1 of your war suns out of or through Avernus's system and into a non-home system, you may move the Avernus token with it.",,See also: Avernus (in planets),"embers, muaat, embers breakthrough, muaat breakthrough"
The Icon,<:bastion:1433554235500400751> Last Bastion,<:TechWarfare:786336653085376558> **<>** <:TechCybernetic:786336610014724127>,,,,,Thunder's Edge,"When you produce ships, you may exhaust this card to place those sihps in a system that contains 1 of your command tokens, at least 1 of your ground forces, and no other player's ships.",,,"bastion, last bastion, lb, bastion breakthrough, last bastion breakthrough, lb breakthrough"
The Reaping,<:obsidian:1433653595307507957> Obsidian,<:TechCybernetic:786336610014724127> **<>** <:TechBiotic:786336544393920582>,,,,,Thunder's Edge,"Place 1 trade good from the supply onto this card each time you win a combat against a puppeted player.|At the start of the status phase, gain all trade goods on this card, then gain an equal number of trade goods from the supply.",,,"obsidian, obsidian breakthrough"
